                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.52371,                0.86551,                0.60382,                0.89769,                0.85279,                0.81175,                0.87048,                0.75688,                0.84794,                0.80741,                0.86517,                0.70772,                0.51236,                0.95787,                0.78231,                0.88824,                0.00208,                0.00208,                0.00208
                     83,                 0.5145,                0.85926,                0.59165,                0.89213,                0.83672,                 0.8219,                0.86795,                0.75291,                0.81239,                0.83649,                 0.8608,                0.71276,                0.50983,                0.94572,                0.78307,                0.88509,               0.001981,               0.001981,               0.001981
                     84,                0.51645,                0.85764,                0.57044,                0.89002,                0.81865,                0.82618,                0.86614,                0.74863,                0.81415,                0.82179,                0.85727,                0.70998,                0.51301,                0.96043,                0.79369,                0.88491,               0.001882,               0.001882,               0.001882
                     85,                0.51179,                0.86431,                0.59585,                0.88846,                0.84767,                0.81192,                0.86604,                0.74207,                0.84292,                0.80754,                0.85687,                0.70416,                0.50963,                0.95302,                 0.7907,                0.88472,               0.001783,               0.001783,               0.001783
                     86,                0.50845,                0.85385,                0.58921,                 0.8864,                0.86682,                0.78832,                0.86159,                0.74227,                0.86214,                0.78394,                0.85332,                0.70474,                 0.5103,                0.94865,                0.78999,                0.88438,               0.001684,               0.001684,               0.001684
                     87,                 0.5061,                0.84693,                0.56844,                 0.8892,                0.86138,                0.79657,                0.86818,                0.75255,                0.85636,                 0.7924,                0.85967,                0.70512,                0.50629,                 0.9489,                0.78729,                0.88339,               0.001585,               0.001585,               0.001585
                     88,                0.50779,                0.86891,                0.58491,                0.89143,                0.84301,                0.82306,                0.86742,                0.75196,                0.83863,                0.81867,                0.85974,                0.70776,                0.50753,                0.94676,                0.78937,                0.88495,               0.001486,               0.001486,               0.001486
                     89,                0.50071,                0.84327,                0.53685,                0.88698,                0.82686,                 0.8328,                0.86445,                0.74833,                0.82246,                0.82842,                0.85655,                   0.71,                0.50748,                0.94258,                0.79149,                0.88636,               0.001387,               0.001387,               0.001387
                     90,                0.50674,                0.85193,                0.56977,                0.89314,                0.83143,                0.82456,                0.86264,                0.75083,                0.82702,                0.82017,                0.85499,                0.70532,                 0.5039,                0.95226,                 0.7995,                0.87888,               0.001288,               0.001288,               0.001288
                     91,                0.41901,                0.76403,                 0.4136,                0.84662,                0.87159,                0.79358,                 0.8577,                0.74801,                0.86693,                0.78919,                0.85317,                0.70712,                0.51422,                0.96388,                0.79312,                0.88388,               0.001189,               0.001189,               0.001189
                     92,                0.42558,                0.76464,                0.39467,                0.84364,                0.85384,                0.81985,                0.86747,                0.75869,                0.84939,                0.81546,                0.86228,                0.71371,                0.50764,                0.95184,                0.78659,                0.88406,                0.00109,                0.00109,                0.00109
                     93,                0.41252,                0.76291,                0.39068,                0.84069,                0.83509,                0.82976,                0.86844,                0.75588,                0.83058,                0.82538,                0.86282,                 0.7134,                0.50462,                0.95135,                0.79799,                0.88164,               0.000991,               0.000991,               0.000991
                     94,                0.40875,                0.74739,                0.37941,                0.84022,                0.84092,                0.81835,                0.86082,                0.75306,                0.84092,                0.81835,                 0.8607,                0.71096,                0.50502,                0.94889,                0.79336,                0.88352,               0.000892,               0.000892,               0.000892
                     95,                0.40895,                0.75217,                 0.3639,                0.84135,                0.84779,                0.82031,                0.86073,                 0.7534,                0.84341,                0.81593,                 0.8547,                0.71316,                0.49948,                 0.9484,                0.80461,                0.88099,               0.000793,               0.000793,               0.000793
                     96,                 0.4066,                0.75413,                 0.3652,                0.84015,                0.83254,                0.83661,                0.85794,                0.75172,                0.83254,                0.83661,                0.85809,                0.70655,                0.49929,                0.95145,                0.80475,                0.87947,               0.000694,               0.000694,               0.000694
                     97,                0.40392,                0.73797,                0.35966,                0.83844,                0.86011,                0.80252,                0.86122,                0.75223,                0.85554,                0.79813,                0.85525,                0.70819,                0.50057,                0.94917,                0.80771,                 0.8792,               0.000595,               0.000595,               0.000595
                     98,                0.39929,                0.74049,                0.34864,                0.84089,                 0.8597,                0.80953,                 0.8528,                0.74628,                  0.855,                0.80562,                0.84644,                0.70172,                0.49816,                0.95343,                0.81291,                0.87975,               0.000496,               0.000496,               0.000496
                     99,                0.39832,                0.73083,                0.34025,                0.83741,                0.86635,                0.79984,                0.85658,                 0.7473,                 0.8618,                0.79545,                0.85079,                0.70706,                0.49899,                0.95723,                0.80633,                 0.8784,               0.000397,               0.000397,               0.000397
                    100,                0.39962,                0.73443,                0.34204,                0.83855,                0.86174,                0.80076,                0.85951,                0.75015,                0.86174,                0.80076,                0.85936,                0.70693,                0.49885,                0.95698,                0.80945,                0.87913,               0.000298,               0.000298,               0.000298
    
