                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.51276,                0.51871,                0.57037,                0.95238,                0.84053,                0.87714,                0.87165,                0.75926,                 0.8501,                0.88307,                0.87724,                0.70922,                0.55452,                0.37308,                0.61432,                0.91127,               0.005545,               0.005545,               0.005545
                     48,                0.51044,                0.51128,                0.55446,                0.94971,                0.85282,                   0.91,                0.89254,                0.78752,                0.86312,                0.91857,                0.89883,                0.72916,                0.50367,                0.38371,                0.58405,                0.86639,               0.005446,               0.005446,               0.005446
                     49,                  0.507,                0.51303,                0.55459,                0.95123,                 0.8525,                0.92474,                0.89354,                0.79146,                0.86168,                0.93143,                0.89749,                0.73913,                0.51565,                0.37728,                0.57309,                0.87703,               0.005347,               0.005347,               0.005347
                     50,                0.51055,                0.52807,                0.53754,                0.94786,                 0.8718,                0.91319,                0.88893,                0.78456,                0.87735,                 0.9197,                0.89651,                0.72503,                0.51395,                0.37647,                0.57277,                0.88097,               0.005248,               0.005248,               0.005248
                     51,                0.50637,                0.50823,                0.55231,                0.94312,                0.85771,                0.91714,                0.89393,                0.79242,                0.86379,                0.92403,                0.89416,                 0.7339,                0.51063,                0.36094,                0.56326,                0.87032,               0.005149,               0.005149,               0.005149
                     52,                0.49999,                0.51848,                0.54457,                0.94638,                0.83919,                0.91429,                0.88604,                0.77731,                0.84764,                0.92196,                0.88911,                0.73146,                0.50234,                0.35046,                0.56359,                0.87321,                0.00505,                0.00505,                0.00505
                     53,                0.49997,                0.51568,                0.55076,                0.94627,                0.83849,                0.90714,                0.90187,                0.80293,                 0.8484,                0.91857,                0.90872,                0.73998,                0.49349,                0.34704,                0.58287,                0.85448,               0.004951,               0.004951,               0.004951
                     54,                0.49361,                0.50187,                0.53526,                0.93917,                0.86595,                0.90143,                 0.9077,                0.80808,                0.87693,                0.91286,                0.91603,                0.74692,                0.48734,                0.36354,                0.54312,                0.85927,               0.004852,               0.004852,               0.004852
                     55,                0.49582,                0.50614,                0.53573,                0.93866,                0.87676,                0.88416,                0.89271,                0.79724,                0.88635,                0.89429,                0.89962,                0.73377,                0.48987,                0.37637,                0.53479,                0.86023,               0.004753,               0.004753,               0.004753
                     56,                0.48853,                0.51374,                0.53443,                 0.9309,                0.87182,                0.90365,                0.89852,                0.80348,                0.88509,                0.91286,                0.90477,                0.74233,                0.47972,                0.36449,                0.55318,                0.84875,               0.004654,               0.004654,               0.004654
                     57,                0.48293,                0.48425,                0.52041,                0.94092,                0.87824,                0.89649,                0.88492,                0.78605,                0.87507,                0.91058,                 0.8968,                0.73865,                0.50697,                0.37169,                0.55308,                 0.8768,               0.004555,               0.004555,               0.004555
                     58,                0.48732,                0.50486,                0.52413,                0.94114,                0.85001,                0.91286,                0.87804,                0.76992,                0.86095,                0.92429,                0.88531,                0.71846,                0.52509,                0.35461,                0.56159,                  0.898,               0.004456,               0.004456,               0.004456
